record_id,disease,genus,publication_id,direction
synthetic-record-0001,SyntheticConditionA,GenusA,synthetic-paper-0-0-0,1
synthetic-record-0002,SyntheticConditionA,GenusA,synthetic-paper-0-0-0,1
synthetic-record-0003,SyntheticConditionA,GenusA,synthetic-paper-0-0-0,1
synthetic-record-0004,SyntheticConditionA,GenusA,synthetic-paper-0-0-1,1
synthetic-record-0005,SyntheticConditionA,GenusA,synthetic-paper-0-0-2,1
synthetic-record-0006,SyntheticConditionA,GenusB,synthetic-paper-0-1-0,-1
synthetic-record-0007,SyntheticConditionA,GenusB,synthetic-paper-0-1-0,-1
synthetic-record-0008,SyntheticConditionA,GenusB,synthetic-paper-0-1-0,-1
synthetic-record-0009,SyntheticConditionA,GenusB,synthetic-paper-0-1-1,-1
synthetic-record-0010,SyntheticConditionA,GenusB,synthetic-paper-0-1-2,-1
synthetic-record-0011,SyntheticConditionA,GenusC,synthetic-paper-0-2-0,1
synthetic-record-0012,SyntheticConditionA,GenusC,synthetic-paper-0-2-0,1
synthetic-record-0013,SyntheticConditionA,GenusC,synthetic-paper-0-2-0,1
synthetic-record-0014,SyntheticConditionA,GenusC,synthetic-paper-0-2-1,1
synthetic-record-0015,SyntheticConditionA,GenusC,synthetic-paper-0-2-2,1
synthetic-record-0016,SyntheticConditionA,GenusD,synthetic-paper-0-3-0,-1
synthetic-record-0017,SyntheticConditionA,GenusD,synthetic-paper-0-3-0,-1
synthetic-record-0018,SyntheticConditionA,GenusD,synthetic-paper-0-3-0,-1
synthetic-record-0019,SyntheticConditionA,GenusD,synthetic-paper-0-3-1,-1
synthetic-record-0020,SyntheticConditionA,GenusD,synthetic-paper-0-3-2,-1
synthetic-record-0021,SyntheticConditionA,GenusE,synthetic-paper-0-4-0,1
synthetic-record-0022,SyntheticConditionA,GenusE,synthetic-paper-0-4-0,1
synthetic-record-0023,SyntheticConditionA,GenusE,synthetic-paper-0-4-0,1
synthetic-record-0024,SyntheticConditionA,GenusE,synthetic-paper-0-4-1,1
synthetic-record-0025,SyntheticConditionA,GenusE,synthetic-paper-0-4-2,1
synthetic-record-0026,SyntheticConditionA,GenusG,synthetic-paper-0-6-0,1
synthetic-record-0027,SyntheticConditionA,GenusG,synthetic-paper-0-6-0,1
synthetic-record-0028,SyntheticConditionA,GenusG,synthetic-paper-0-6-0,1
synthetic-record-0029,SyntheticConditionA,GenusG,synthetic-paper-0-6-1,1
synthetic-record-0030,SyntheticConditionA,GenusG,synthetic-paper-0-6-2,1
synthetic-record-0031,SyntheticConditionA,GenusH,synthetic-paper-0-7-0,-1
synthetic-record-0032,SyntheticConditionA,GenusH,synthetic-paper-0-7-0,-1
synthetic-record-0033,SyntheticConditionA,GenusH,synthetic-paper-0-7-0,-1
synthetic-record-0034,SyntheticConditionA,GenusH,synthetic-paper-0-7-1,-1
synthetic-record-0035,SyntheticConditionA,GenusH,synthetic-paper-0-7-2,-1
synthetic-record-0036,SyntheticConditionB,GenusA,synthetic-paper-1-0-0,-1
synthetic-record-0037,SyntheticConditionB,GenusA,synthetic-paper-1-0-0,-1
synthetic-record-0038,SyntheticConditionB,GenusA,synthetic-paper-1-0-0,-1
synthetic-record-0039,SyntheticConditionB,GenusA,synthetic-paper-1-0-1,-1
synthetic-record-0040,SyntheticConditionB,GenusA,synthetic-paper-1-0-2,-1
synthetic-record-0041,SyntheticConditionB,GenusB,synthetic-paper-1-1-0,1
synthetic-record-0042,SyntheticConditionB,GenusB,synthetic-paper-1-1-0,1
synthetic-record-0043,SyntheticConditionB,GenusB,synthetic-paper-1-1-0,1
synthetic-record-0044,SyntheticConditionB,GenusB,synthetic-paper-1-1-1,1
synthetic-record-0045,SyntheticConditionB,GenusB,synthetic-paper-1-1-2,1
synthetic-record-0046,SyntheticConditionB,GenusC,synthetic-paper-1-2-0,-1
synthetic-record-0047,SyntheticConditionB,GenusC,synthetic-paper-1-2-0,-1
synthetic-record-0048,SyntheticConditionB,GenusC,synthetic-paper-1-2-0,-1
synthetic-record-0049,SyntheticConditionB,GenusC,synthetic-paper-1-2-1,-1
synthetic-record-0050,SyntheticConditionB,GenusC,synthetic-paper-1-2-2,-1
synthetic-record-0051,SyntheticConditionB,GenusD,synthetic-paper-1-3-0,1
synthetic-record-0052,SyntheticConditionB,GenusD,synthetic-paper-1-3-0,1
synthetic-record-0053,SyntheticConditionB,GenusD,synthetic-paper-1-3-0,1
synthetic-record-0054,SyntheticConditionB,GenusD,synthetic-paper-1-3-1,1
synthetic-record-0055,SyntheticConditionB,GenusD,synthetic-paper-1-3-2,1
synthetic-record-0056,SyntheticConditionB,GenusE,synthetic-paper-1-4-0,-1
synthetic-record-0057,SyntheticConditionB,GenusE,synthetic-paper-1-4-0,-1
